date,project_id,crew_id,user_id,cost_code_id,hours,overtime_hours,description
2024-07-02,1,1,2,1,8,1,Site excavation and preparation
2024-07-02,1,1,5,1,8,1,Heavy equipment operation
2024-07-02,1,1,4,1,8,0,Site supervision and safety checks
2024-07-02,2,2,7,2,8,0,Foundation preparation
2024-07-02,2,2,8,2,8,0,Material staging
2024-07-02,2,2,6,2,8,0,Crew coordination
2024-07-03,1,1,2,1,8,2,Underground utility work
2024-07-03,1,1,5,1,8,2,Trenching and conduit installation
2024-07-03,1,1,4,1,8,0,Quality control inspection
2024-07-03,2,2,7,2,8,1.5,Concrete form setup
2024-07-03,2,2,8,2,8,1.5,Rebar installation
2024-07-03,2,2,6,2,8,0,Site documentation
2024-07-04,1,1,2,1,8,0,Site security and maintenance
2024-07-04,1,1,5,1,8,0,Equipment maintenance
2024-07-04,1,1,4,1,8,0,Holiday supervision
2024-07-04,2,2,7,2,8,0,Site monitoring
2024-07-04,2,2,8,2,8,0,Material inventory
2024-07-04,2,2,6,2,8,0,Progress reporting
2024-07-07,1,1,2,1,8,1,Foundation waterproofing
2024-07-07,1,1,5,1,8,1,Drainage system installation
2024-07-07,1,1,4,1,8,0,Project coordination
2024-07-07,2,2,7,2,8,2,Concrete pouring
2024-07-07,2,2,8,2,8,2,Concrete finishing
2024-07-07,2,2,6,2,8,0,Quality assurance
2024-07-08,1,1,2,1,8,0,Backfill operations
2024-07-08,1,1,5,1,8,0,Soil compaction
2024-07-08,1,1,4,1,8,0,Site inspection
2024-07-08,2,2,7,2,8,1,Concrete curing monitoring
2024-07-08,2,2,8,2,8,1,Surface preparation
2024-07-08,2,2,6,2,8,0,Safety compliance check
2024-07-09,1,1,2,1,8,1.5,Grade beam installation
2024-07-09,1,1,5,1,8,1.5,Steel reinforcement work
2024-07-09,1,1,4,1,8,0,Progress monitoring
2024-07-09,2,2,7,2,8,0,Form removal
2024-07-09,2,2,8,2,8,0,Site cleanup
2024-07-09,2,2,6,2,8,0,Documentation update
2024-07-10,1,1,2,1,8,2,Concrete foundation pour
2024-07-10,1,1,5,1,8,2,Concrete finishing work
2024-07-10,1,1,4,1,8,0,Quality control
2024-07-10,2,2,7,2,8,1,Underground plumbing prep
2024-07-10,2,2,8,2,8,1,Utility marking
2024-07-10,2,2,6,2,8,0,Permit compliance check
2024-07-11,1,1,2,1,8,0,Concrete curing maintenance
2024-07-11,1,1,5,1,8,0,Site organization
2024-07-11,1,1,4,1,8,0,Weekly reporting
2024-07-11,2,2,7,2,8,1.5,Utility trenching
2024-07-11,2,2,8,2,8,1.5,Conduit installation
2024-07-11,2,2,6,2,8,0,Safety audit
2024-07-14,1,1,2,1,8,1,Waterproofing application
2024-07-14,1,1,5,1,8,1,Drainage mat installation
2024-07-14,1,1,4,1,8,0,Site coordination
2024-07-14,2,2,7,2,8,2,Plumbing rough-in
2024-07-14,2,2,8,2,8,2,Electrical rough-in
2024-07-14,2,2,6,2,8,0,Inspection preparation
2024-07-15,1,1,2,1,8,0,Insulation installation
2024-07-15,1,1,5,1,8,0,Vapor barrier setup
2024-07-15,1,1,4,1,8,0,Quality inspection
2024-07-15,2,2,7,2,8,1,Underground testing
2024-07-15,2,2,8,2,8,1,Backfill preparation
2024-07-15,2,2,6,2,8,0,Documentation review
2024-07-16,1,1,2,1,8,1.5,Rebar installation
2024-07-16,1,1,5,1,8,1.5,Steel tie-in work
2024-07-16,1,1,4,1,8,0,Safety monitoring
2024-07-16,2,2,7,2,8,0,Backfill operations
2024-07-16,2,2,8,2,8,0,Soil compaction
2024-07-16,2,2,6,2,8,0,Progress reporting
2024-07-17,1,1,2,1,8,2,Slab preparation
2024-07-17,1,1,5,1,8,2,Concrete forming
2024-07-17,1,1,4,1,8,0,Material coordination
2024-07-17,2,2,7,2,8,1,Grade beam forming
2024-07-17,2,2,8,2,8,1,Reinforcement placement
2024-07-17,2,2,6,2,8,0,Quality control
2024-07-18,1,1,2,1,8,0,Site cleanup
2024-07-18,1,1,5,1,8,0,Equipment maintenance
2024-07-18,1,1,4,1,8,0,Weekly review
2024-07-18,2,2,7,2,8,1.5,Concrete placement
2024-07-18,2,2,8,2,8,1.5,Surface finishing
2024-07-18,2,2,6,2,8,0,Inspection coordination
2024-07-21,1,1,2,1,8,1,Concrete slab pour
2024-07-21,1,1,5,1,8,1,Power trowel finishing
2024-07-21,1,1,4,1,8,0,Quality assurance
2024-07-21,2,2,7,2,8,2,Wall layout marking
2024-07-21,2,2,8,2,8,2,Material staging
2024-07-21,2,2,6,2,8,0,Site management
2024-07-22,1,1,2,1,8,0,Concrete curing
2024-07-22,1,1,5,1,8,0,Site organization
2024-07-22,1,1,4,1,8,0,Progress inspection
2024-07-22,2,2,7,2,8,1,Wall framing
2024-07-22,2,2,8,2,8,1,Sheathing installation
2024-07-22,2,2,6,2,8,0,Safety monitoring
2024-07-23,1,1,2,1,8,1.5,Layout marking
2024-07-23,1,1,5,1,8,1.5,Wall framing prep
2024-07-23,1,1,4,1,8,0,Material inventory
2024-07-23,2,2,7,2,8,0,Window rough-in
2024-07-23,2,2,8,2,8,0,Door frame installation
2024-07-23,2,2,6,2,8,0,Quality checks
2024-07-24,1,1,2,1,8,2,Wall framing
2024-07-24,1,1,5,1,8,2,Sheathing work
2024-07-24,1,1,4,1,8,0,Inspection prep
2024-07-24,2,2,7,2,8,1,Mechanical rough-in
2024-07-24,2,2,8,2,8,1,Electrical routing
2024-07-24,2,2,6,2,8,0,Coordination meeting
2024-07-25,1,1,2,1,8,0,Window installation
2024-07-25,1,1,5,1,8,0,Door frame setup
2024-07-25,1,1,4,1,8,0,Weekly closeout
2024-07-25,2,2,7,2,8,1.5,Plumbing rough-in
2024-07-25,2,2,8,2,8,1.5,HVAC preparation
2024-07-25,2,2,6,2,8,0,Documentation update
2024-07-28,1,1,2,1,8,1,Mechanical routing
2024-07-28,1,1,5,1,8,1,Electrical rough-in
2024-07-28,1,1,4,1,8,0,Site supervision
2024-07-28,2,2,7,2,8,2,Insulation installation
2024-07-28,2,2,8,2,8,2,Vapor barrier setup
2024-07-28,2,2,6,2,8,0,Quality assurance
2024-07-29,1,1,2,1,8,0,Plumbing rough-in
2024-07-29,1,1,5,1,8,0,HVAC preparation
2024-07-29,1,1,4,1,8,0,Inspection coordination
2024-07-29,2,2,7,2,8,1,Drywall hanging
2024-07-29,2,2,8,2,8,1,Joint taping
2024-07-29,2,2,6,2,8,0,Progress monitoring
2024-07-30,1,1,2,1,8,1.5,Insulation work
2024-07-30,1,1,5,1,8,1.5,Air sealing
2024-07-30,1,1,4,1,8,0,Quality control
